#,entity_code,entity_name,license_number,bill_date,etin,brand_name,package_size,package_type,Plan Id,sold_qty
27,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-05-25,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021548,130
28,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-05-26,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021548,176
29,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-05-27,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021548,154
30,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-05-28,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021548,155
31,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-05-29,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021548,134
32,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-01,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,135
33,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-03,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,131
34,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-02,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,173
35,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-04,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,135
36,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-05,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,174
37,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-07,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,134
38,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-08,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,133
39,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-06,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,131
40,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-09,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,133
41,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-10,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,132
42,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-11,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,134
43,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-12,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,130
44,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-13,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1022326,48
45,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-13,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021743,131
46,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-14,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1021354,130
47,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-15,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1022317,43
48,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-15,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1022326,90
49,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-06-16,SIRIS0110D76140400900N26001545FLKAN1106050033,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,BOTTELING_PLAN_1022326,179
