#,indent_number,bottling_plan_id,plan_created_date,etin,code_type,dispatch_date,tp_reference_number,from_entity_code,from_entity_name,to_entity_code,to_entity_name,brand_name,package_size,package_type,dispatched_cases,dispatched_bottles
42,WHOLESALE150197-20250713193611058,BOTTELING_PLAN_1023961,2025-07-11,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-07-14,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Jul25_00002124,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,100,4500
43,WHOLESALE19802-20250708105822595,BOTTELING_PLAN_1023757,2025-07-05,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-08,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00001301,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1000,45000
44,WHOLESALE19802-20250707100901266,BOTTELING_PLAN_1023757,2025-07-05,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-07,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00001091,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,500,22500
45,WHOLESALE150197-20250725170155080,BOTTELING_PLAN_1023954,2025-07-11,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-07-25,BOTTELINGCLB102-CLB2-WHOLESALE150197-CL2-GORA-Jul25_00004106,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,2,90
46,WHOLESALE150197-20250725170155080,BOTTELING_PLAN_1024205,2025-07-17,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-07-25,BOTTELINGCLB102-CLB2-WHOLESALE150197-CL2-GORA-Jul25_00004106,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,298,13410
47,WHOLESALE19802-20250730101731576,BOTTELING_PLAN_1024205,2025-07-17,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-30,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00004714,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,748,33660
48,WHOLESALE19802-20250730101731576,BOTTELING_PLAN_1024643,2025-07-30,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-07-30,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Jul25_00004714,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,252,11340
49,WHOLESALE19802-20250804113544073,BOTTELING_PLAN_1024643,2025-07-30,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-08-04,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Aug25_00000458,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1000,45000
50,WHOLESALE150197-20250801160119871,BOTTELING_PLAN_1024643,2025-07-30,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-08-01,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Aug25_00000081,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,100,4500
51,WHOLESALE150197-20250810175137541,BOTTELING_PLAN_1024843,2025-08-05,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-08-10,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Aug25_00001389,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,200,9000
52,WHOLESALE19802-20250812102242135,BOTTELING_PLAN_1024843,2025-08-05,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-08-12,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Aug25_00001736,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,1000,45000
53,WHOLESALE19802-20250820102502542,BOTTELING_PLAN_1025078,2025-08-12,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-08-20,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Aug25_00002946,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,844,37980
54,WHOLESALE19802-20250821120924630,BOTTELING_PLAN_1025355,2025-08-20,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-08-21,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Aug25_00003126,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,645,29025
55,WHOLESALE19802-20250821120924630,BOTTELING_PLAN_1025359,2025-08-20,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-08-21,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Aug25_00003126,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,855,38475
56,WHOLESALE19802-20250820102502542,BOTTELING_PLAN_1025355,2025-08-20,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-08-20,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Aug25_00002946,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,156,7020
57,WHOLESALE150197-20250826161737601,BOTTELING_PLAN_1025359,2025-08-20,SIRIS0110D76140400900N26001545FLKAN1106050033,UnMapped,2025-08-26,BOTTELINGCLB102-CLB1-WHOLESALE150197-CL2-GORA-Aug25_00003871,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIJA001,Exicse Depot Vijayawada-I,Siri 's Classic Blue Finest Whisky,90,Pet Bottle,300,13500
58,WHOLESALE19802-20250908105205962,BOTTELING_PLAN_1025698,2025-09-01,SIRIS0110732140401800N26001545FLKAN1105060024,UnMapped,2025-09-08,BOTTELINGCLB102-CLB1-WHOLESALE19802-CL2-GORA-Sep25_00000984,BOTTELING395545,M/S SENTITNI BIOPRODUCTS PVT LIMITED,DEPOVIZ001,Exicse Depot Vizianagaram,Siri 's Sentini Special,180,Glass Bottle,970,43650
